busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
83-004.374-K-2-B1-B1-Fødekobler,K,4.374,-1736.4459658290402,12:00:00
83-004.374-K-2-B1-B1-Fødekobler,K,4.374,-1736.5401900623626,12:00:05
83-004.374-K-2-B1-B1-Fødekobler,K,4.374,-1735.6529744822408,12:00:10
83-004.374-K-2-B1-B1-Fødekobler,K,4.374,-1733.9381424015062,12:00:15
83-004.374-K-2-B1-B1-Fødekobler,K,4.374,-1733.7313109303104,12:00:20
83-004.374-K-2-B1-B1-Fødekobler,K,4.374,-1733.2004778168862,12:00:25
83-004.374-K-2-B1-B1-Fødekobler,K,4.374,-1733.7094722101644,12:00:40
83-004.374-K-2-B1-B1-Fødekobler,K,4.374,-1733.717423476033,12:00:45
83-004.374-K-2-B1-B1-Fødekobler,K,4.374,-1736.0217818682158,12:00:50
83-004.374-K-2-B1-B1-Fødekobler,K,4.374,-1736.0627008257673,12:00:55
83-004.380-K-2-R2-R2-Fødekobler,K,4.38,-1736.517673687147,12:00:00
83-004.380-K-2-R2-R2-Fødekobler,K,4.38,-1736.6131218719338,12:00:05
83-004.380-K-2-R2-R2-Fødekobler,K,4.38,-1735.726165931799,12:00:10
83-004.380-K-2-R2-R2-Fødekobler,K,4.38,-1734.0109036763865,12:00:15
83-004.380-K-2-R2-R2-Fødekobler,K,4.38,-1733.8054470835386,12:00:20
83-004.380-K-2-R2-R2-Fødekobler,K,4.38,-1733.275408397328,12:00:25
83-004.380-K-2-R2-R2-Fødekobler,K,4.38,-1733.781334131933,12:00:40
83-004.380-K-2-R2-R2-Fødekobler,K,4.38,-1733.789246048139,12:00:45
83-004.380-K-2-R2-R2-Fødekobler,K,4.38,-1736.0940991534005,12:00:50
83-004.380-K-2-R2-R2-Fødekobler,K,4.38,-1736.1349860016767,12:00:55
83-004.477-K-2-B1-O1-83-BB,K,4.477,-1736.560486265988,12:00:00
83-004.477-K-2-B1-O1-83-BB,K,4.477,-1736.6433393780023,12:00:05
83-004.477-K-2-B1-O1-83-BB,K,4.477,-1735.7535862744917,12:00:10
83-004.477-K-2-B1-O1-83-BB,K,4.477,-1734.041071675349,12:00:15
83-004.477-K-2-B1-O1-83-BB,K,4.477,-1733.821174377476,12:00:20
83-004.477-K-2-B1-O1-83-BB,K,4.477,-1733.2807186180673,12:00:25
83-004.477-K-2-B1-O1-83-BB,K,4.477,-1733.8002920619401,12:00:40
83-004.477-K-2-B1-O1-83-BB,K,4.477,-1733.8077585788128,12:00:45
83-004.477-K-2-B1-O1-83-BB,K,4.477,-1736.1176587343743,12:00:50
83-004.477-K-2-B1-O1-83-BB,K,4.477,-1736.1581499469826,12:00:55
83-004.613-K-1-O1-O1-Fødekobler,K,4.613,-1736.5604863089281,12:00:00
83-004.613-K-2-R2-T1-84-Fødekobler,K,4.613,-1736.5635955698308,12:00:00
83-004.613-K-1-O1-O1-Fødekobler,K,4.613,-1736.6433394209446,12:00:05
83-004.613-K-2-R2-T1-84-Fødekobler,K,4.613,-1736.6460228094616,12:00:05
83-004.613-K-1-O1-O1-Fødekobler,K,4.613,-1735.7535863174126,12:00:10
83-004.613-K-2-R2-T1-84-Fødekobler,K,4.613,-1735.756171587618,12:00:10
83-004.613-K-1-O1-O1-Fødekobler,K,4.613,-1734.0410717182272,12:00:15
83-004.613-K-2-R2-T1-84-Fødekobler,K,4.613,-1734.0437017392137,12:00:15
83-004.613-K-1-O1-O1-Fødekobler,K,4.613,-1733.8211744203484,12:00:20
83-004.613-K-2-R2-T1-84-Fødekobler,K,4.613,-1733.823307742525,12:00:20
83-004.613-K-1-O1-O1-Fødekobler,K,4.613,-1733.2807186609268,12:00:25
83-004.613-K-2-R2-T1-84-Fødekobler,K,4.613,-1733.2824352727248,12:00:25
83-004.613-K-1-O1-O1-Fødekobler,K,4.613,-1733.8002921048123,12:00:40
83-004.613-K-2-R2-T1-84-Fødekobler,K,4.613,-1733.8019514981725,12:00:40
83-004.613-K-1-O1-O1-Fødekobler,K,4.613,-1733.807758621685,12:00:45
83-004.613-K-2-R2-T1-84-Fødekobler,K,4.613,-1733.8093782906612,12:00:45
83-004.613-K-1-O1-O1-Fødekobler,K,4.613,-1736.1176587773032,12:00:50
83-004.613-K-2-R2-T1-84-Fødekobler,K,4.613,-1736.1197427848776,12:00:50
83-004.613-K-1-O1-O1-Fødekobler,K,4.613,-1736.1581499899125,12:00:55
83-004.613-K-2-R2-T1-84-Fødekobler,K,4.613,-1736.1601996275972,12:00:55
83-004.800-K-1-O1-O1-BB,K,4.8,-1736.6009923653469,12:00:00
83-004.800-K-2-T1-T1-BB,K,4.8,-1736.6094502069373,12:00:00
83-004.800-K-1-O1-O1-BB,K,4.8,-1736.6782972330554,12:00:05
83-004.800-K-2-T1-T1-BB,K,4.8,-1736.6855965922907,12:00:05
83-004.800-K-1-O1-O1-BB,K,4.8,-1735.7872658496544,12:00:10
83-004.800-K-2-T1-T1-BB,K,4.8,-1735.7942983019361,12:00:10
83-004.800-K-1-O1-O1-BB,K,4.8,-1734.0753342626513,12:00:15
83-004.800-K-2-T1-T1-BB,K,4.8,-1734.0824884487054,12:00:15
83-004.800-K-1-O1-O1-BB,K,4.8,-1733.848965997516,12:00:20
83-004.800-K-2-T1-T1-BB,K,4.8,-1733.8547690351584,12:00:20
83-004.800-K-1-O1-O1-BB,K,4.8,-1733.3030813563853,12:00:25
83-004.800-K-2-T1-T1-BB,K,4.8,-1733.3077508347378,12:00:25
83-004.800-K-1-O1-O1-BB,K,4.8,-1733.821909360941,12:00:40
83-004.800-K-2-T1-T1-BB,K,4.8,-1733.826423190393,12:00:40
83-004.800-K-1-O1-O1-BB,K,4.8,-1733.828858350511,12:00:45
83-004.800-K-2-T1-T1-BB,K,4.8,-1733.8332641194283,12:00:45
83-004.800-K-1-O1-O1-BB,K,4.8,-1736.1448078846372,12:00:50
83-004.800-K-2-T1-T1-BB,K,4.8,-1736.150476773691,12:00:50
83-004.800-K-1-O1-O1-BB,K,4.8,-1736.1848513280083,12:00:55
83-004.800-K-2-T1-T1-BB,K,4.8,-1736.1904267221255,12:00:55
83-006.722-K-1-O1-O1-Fødekobler,K,6.722,-1737.0173172525297,12:00:00
83-006.722-K-2-T1-T1-Fødekobler,K,6.722,-1737.0807482068426,12:00:00
83-006.722-K-1-O1-O1-Fødekobler,K,6.722,-1737.037596849901,12:00:05
83-006.722-K-2-T1-T1-Fødekobler,K,6.722,-1737.0923395017512,12:00:05
83-006.722-K-1-O1-O1-Fødekobler,K,6.722,-1736.1334272099998,12:00:10
83-006.722-K-2-T1-T1-Fødekobler,K,6.722,-1736.1861681325956,12:00:10
83-006.722-K-1-O1-O1-Fødekobler,K,6.722,-1734.4274878652539,12:00:15
83-006.722-K-2-T1-T1-Fødekobler,K,6.722,-1734.4811417585765,12:00:15
83-006.722-K-1-O1-O1-Fødekobler,K,6.722,-1734.1346105141317,12:00:20
83-006.722-K-2-T1-T1-Fødekobler,K,6.722,-1734.1781311620703,12:00:20
83-006.722-K-1-O1-O1-Fødekobler,K,6.722,-1733.5329274201795,12:00:25
83-006.722-K-2-T1-T1-Fødekobler,K,6.722,-1733.5679466820482,12:00:25
83-006.722-K-1-O1-O1-Fødekobler,K,6.722,-1734.0440937436747,12:00:40
83-006.722-K-2-T1-T1-Fødekobler,K,6.722,-1734.077945680972,12:00:40
83-006.722-K-1-O1-O1-Fødekobler,K,6.722,-1734.045723548892,12:00:45
83-006.722-K-2-T1-T1-Fødekobler,K,6.722,-1734.0787650615791,12:00:45
83-006.722-K-1-O1-O1-Fødekobler,K,6.722,-1736.4238490490084,12:00:50
83-006.722-K-2-T1-T1-Fødekobler,K,6.722,-1736.4663636182904,12:00:50
83-006.722-K-1-O1-O1-Fødekobler,K,6.722,-1736.4592902866427,12:00:55
83-006.722-K-2-T1-T1-Fødekobler,K,6.722,-1736.5011036693286,12:00:55
83-007.116-K-1-O1-GR2-81,K,7.116,-1737.1072106506235,12:00:00
83-007.116-K-2-T1-V1-82-Fødekobler,K,7.116,-1737.1072106520073,12:00:00
83-007.116-K-1-O1-GR2-81,K,7.116,-1737.1151772992496,12:00:05
83-007.116-K-2-T1-V1-82-Fødekobler,K,7.116,-1737.1151773006754,12:00:05
83-007.116-K-1-O1-GR2-81,K,7.116,-1736.2081708348624,12:00:10
83-007.116-K-2-T1-V1-82-Fødekobler,K,7.116,-1736.2081708362875,12:00:10
83-007.116-K-1-O1-GR2-81,K,7.116,-1734.5035253404553,12:00:15
83-007.116-K-2-T1-V1-82-Fødekobler,K,7.116,-1734.5035253418619,12:00:15
83-007.116-K-1-O1-GR2-81,K,7.116,-1734.1962872863896,12:00:20
83-007.116-K-2-T1-V1-82-Fødekobler,K,7.116,-1734.1962872878146,12:00:20
83-007.116-K-1-O1-GR2-81,K,7.116,-1733.5825561392214,12:00:25
83-007.116-K-2-T1-V1-82-Fødekobler,K,7.116,-1733.5825561406207,12:00:25
83-007.116-K-1-O1-GR2-81,K,7.116,-1734.0920681455625,12:00:40
83-007.116-K-2-T1-V1-82-Fødekobler,K,7.116,-1734.092068146987,12:00:40
83-007.116-K-1-O1-GR2-81,K,7.116,-1734.0925494276025,12:00:45
83-007.116-K-2-T1-V1-82-Fødekobler,K,7.116,-1734.0925494289986,12:00:45
83-007.116-K-1-O1-GR2-81,K,7.116,-1736.4841000195845,12:00:50
83-007.116-K-2-T1-V1-82-Fødekobler,K,7.116,-1736.4841000210122,12:00:50
83-007.116-K-1-O1-GR2-81,K,7.116,-1736.518547544703,12:00:55
83-007.116-K-2-T1-V1-82-Fødekobler,K,7.116,-1736.5185475461426,12:00:55
83-007.133-K-1-BR4-GR4-91-BB,K,7.133,-1737.1072106559927,12:00:00
83-007.133-K-1-GR2-GR4-91-Fødekobler,K,7.133,-1737.1072106559927,12:00:00
83-007.133-K-1/2-GR4-GR4,K,7.133,-1737.1072106409506,12:00:00
83-007.133-K-2-GR4-GR4-92-BB,K,7.133,-1737.1072106412664,12:00:00
83-007.133-K-2-V1-V1-92-BB,K,7.133,-1737.1072106412664,12:00:00
83-007.133-K-1-BR4-GR4-91-BB,K,7.133,-1737.1151773046183,12:00:05
83-007.133-K-1-GR2-GR4-91-Fødekobler,K,7.133,-1737.1151773046183,12:00:05
83-007.133-K-1/2-GR4-GR4,K,7.133,-1737.1151772896214,12:00:05
83-007.133-K-2-GR4-GR4-92-BB,K,7.133,-1737.1151772899373,12:00:05
83-007.133-K-2-V1-V1-92-BB,K,7.133,-1737.1151772899373,12:00:05
83-007.133-K-1-BR4-GR4-91-BB,K,7.133,-1736.2081708402286,12:00:10
83-007.133-K-1-GR2-GR4-91-Fødekobler,K,7.133,-1736.2081708402286,12:00:10
83-007.133-K-1/2-GR4-GR4,K,7.133,-1736.2081708252388,12:00:10
83-007.133-K-2-GR4-GR4-92-BB,K,7.133,-1736.2081708255544,12:00:10
83-007.133-K-2-V1-V1-92-BB,K,7.133,-1736.2081708255544,12:00:10
83-007.133-K-1-BR4-GR4-91-BB,K,7.133,-1734.5035253458166,12:00:15
83-007.133-K-1-GR2-GR4-91-Fødekobler,K,7.133,-1734.5035253458166,12:00:15
83-007.133-K-1/2-GR4-GR4,K,7.133,-1734.5035253308258,12:00:15
83-007.133-K-2-GR4-GR4-92-BB,K,7.133,-1734.5035253311414,12:00:15
83-007.133-K-2-V1-V1-92-BB,K,7.133,-1734.5035253311414,12:00:15
83-007.133-K-1-BR4-GR4-91-BB,K,7.133,-1734.19628729175,12:00:20
83-007.133-K-1-GR2-GR4-91-Fødekobler,K,7.133,-1734.19628729175,12:00:20
83-007.133-K-1/2-GR4-GR4,K,7.133,-1734.196287276781,12:00:20
83-007.133-K-2-GR4-GR4-92-BB,K,7.133,-1734.1962872770962,12:00:20
83-007.133-K-2-V1-V1-92-BB,K,7.133,-1734.1962872770962,12:00:20
83-007.133-K-1-BR4-GR4-91-BB,K,7.133,-1733.5825561445797,12:00:25
83-007.133-K-1-GR2-GR4-91-Fødekobler,K,7.133,-1733.5825561445797,12:00:25
83-007.133-K-1/2-GR4-GR4,K,7.133,-1733.582556129587,12:00:25
83-007.133-K-2-GR4-GR4-92-BB,K,7.133,-1733.582556129902,12:00:25
83-007.133-K-2-V1-V1-92-BB,K,7.133,-1733.582556129902,12:00:25
83-007.133-K-1-BR4-GR4-91-BB,K,7.133,-1734.0920681509226,12:00:40
83-007.133-K-1-GR2-GR4-91-Fødekobler,K,7.133,-1734.0920681509226,12:00:40
83-007.133-K-1/2-GR4-GR4,K,7.133,-1734.0920681359546,12:00:40
83-007.133-K-2-GR4-GR4-92-BB,K,7.133,-1734.0920681362702,12:00:40
83-007.133-K-2-V1-V1-92-BB,K,7.133,-1734.0920681362702,12:00:40
83-007.133-K-1-BR4-GR4-91-BB,K,7.133,-1734.0925494329622,12:00:45
83-007.133-K-1-GR2-GR4-91-Fødekobler,K,7.133,-1734.0925494329622,12:00:45
83-007.133-K-1/2-GR4-GR4,K,7.133,-1734.0925494179617,12:00:45
83-007.133-K-2-GR4-GR4-92-BB,K,7.133,-1734.0925494182768,12:00:45
83-007.133-K-2-V1-V1-92-BB,K,7.133,-1734.0925494182768,12:00:45
83-007.133-K-1-BR4-GR4-91-BB,K,7.133,-1736.4841000249517,12:00:50
83-007.133-K-1-GR2-GR4-91-Fødekobler,K,7.133,-1736.4841000249517,12:00:50
83-007.133-K-1/2-GR4-GR4,K,7.133,-1736.4841000099648,12:00:50
83-007.133-K-2-GR4-GR4-92-BB,K,7.133,-1736.4841000102804,12:00:50
83-007.133-K-2-V1-V1-92-BB,K,7.133,-1736.4841000102804,12:00:50
83-007.133-K-1-BR4-GR4-91-BB,K,7.133,-1736.5185475500707,12:00:55
83-007.133-K-1-GR2-GR4-91-Fødekobler,K,7.133,-1736.5185475500707,12:00:55
83-007.133-K-1/2-GR4-GR4,K,7.133,-1736.5185475350925,12:00:55
83-007.133-K-2-GR4-GR4-92-BB,K,7.133,-1736.5185475354083,12:00:55
83-007.133-K-2-V1-V1-92-BB,K,7.133,-1736.5185475354083,12:00:55
83-007.290-K-1-GR2-GR2-BB,K,7.29,0.0,12:00:00
83-007.290-K-2-V1-V1-BB,K,7.29,0.0,12:00:00
83-007.290-K-1-GR2-GR2-BB,K,7.29,0.0,12:00:05
83-007.290-K-2-V1-V1-BB,K,7.29,0.0,12:00:05
83-007.290-K-1-GR2-GR2-BB,K,7.29,0.0,12:00:10
83-007.290-K-2-V1-V1-BB,K,7.29,0.0,12:00:10
83-007.290-K-1-GR2-GR2-BB,K,7.29,0.0,12:00:15
83-007.290-K-2-V1-V1-BB,K,7.29,0.0,12:00:15
83-007.290-K-1-GR2-GR2-BB,K,7.29,0.0,12:00:20
83-007.290-K-2-V1-V1-BB,K,7.29,0.0,12:00:20
83-007.290-K-1-GR2-GR2-BB,K,7.29,0.0,12:00:25
83-007.290-K-2-V1-V1-BB,K,7.29,0.0,12:00:25
83-007.290-K-1-GR2-GR2-BB,K,7.29,0.0,12:00:40
83-007.290-K-2-V1-V1-BB,K,7.29,0.0,12:00:40
83-007.290-K-1-GR2-GR2-BB,K,7.29,0.0,12:00:45
83-007.290-K-2-V1-V1-BB,K,7.29,0.0,12:00:45
83-007.290-K-1-GR2-GR2-BB,K,7.29,0.0,12:00:50
83-007.290-K-2-V1-V1-BB,K,7.29,0.0,12:00:50
83-007.290-K-1-GR2-GR2-BB,K,7.29,0.0,12:00:55
83-007.290-K-2-V1-V1-BB,K,7.29,0.0,12:00:55
83-007.300-K-21-GR3-GR3,K,7.3,0.0,12:00:00
83-007.300-K-21-GR3-GR3,K,7.3,0.0,12:00:05
83-007.300-K-21-GR3-GR3,K,7.3,0.0,12:00:10
83-007.300-K-21-GR3-GR3,K,7.3,0.0,12:00:15
83-007.300-K-21-GR3-GR3,K,7.3,0.0,12:00:20
83-007.300-K-21-GR3-GR3,K,7.3,0.0,12:00:25
83-007.300-K-21-GR3-GR3,K,7.3,0.0,12:00:40
83-007.300-K-21-GR3-GR3,K,7.3,0.0,12:00:45
83-007.300-K-21-GR3-GR3,K,7.3,0.0,12:00:50
83-007.300-K-21-GR3-GR3,K,7.3,0.0,12:00:55
83-007.588-K-1-GR2-GR3-93,K,7.588,0.0,12:00:00
83-007.588-K-2-V1-GR3-94-BB,K,7.588,0.0,12:00:00
83-007.588-K-21-GR3-GR3,K,7.588,0.0,12:00:00
83-007.588-K-1-GR2-GR3-93,K,7.588,0.0,12:00:05
83-007.588-K-2-V1-GR3-94-BB,K,7.588,0.0,12:00:05
83-007.588-K-21-GR3-GR3,K,7.588,0.0,12:00:05
83-007.588-K-1-GR2-GR3-93,K,7.588,0.0,12:00:10
83-007.588-K-2-V1-GR3-94-BB,K,7.588,0.0,12:00:10
83-007.588-K-21-GR3-GR3,K,7.588,0.0,12:00:10
83-007.588-K-1-GR2-GR3-93,K,7.588,0.0,12:00:15
83-007.588-K-2-V1-GR3-94-BB,K,7.588,0.0,12:00:15
83-007.588-K-21-GR3-GR3,K,7.588,0.0,12:00:15
83-007.588-K-1-GR2-GR3-93,K,7.588,0.0,12:00:20
83-007.588-K-2-V1-GR3-94-BB,K,7.588,0.0,12:00:20
83-007.588-K-21-GR3-GR3,K,7.588,0.0,12:00:20
83-007.588-K-1-GR2-GR3-93,K,7.588,0.0,12:00:25
83-007.588-K-2-V1-GR3-94-BB,K,7.588,0.0,12:00:25
83-007.588-K-21-GR3-GR3,K,7.588,0.0,12:00:25
83-007.588-K-1-GR2-GR3-93,K,7.588,0.0,12:00:40
83-007.588-K-2-V1-GR3-94-BB,K,7.588,0.0,12:00:40
83-007.588-K-21-GR3-GR3,K,7.588,0.0,12:00:40
83-007.588-K-1-GR2-GR3-93,K,7.588,0.0,12:00:45
83-007.588-K-2-V1-GR3-94-BB,K,7.588,0.0,12:00:45
83-007.588-K-21-GR3-GR3,K,7.588,0.0,12:00:45
83-007.588-K-1-GR2-GR3-93,K,7.588,0.0,12:00:50
83-007.588-K-2-V1-GR3-94-BB,K,7.588,0.0,12:00:50
83-007.588-K-21-GR3-GR3,K,7.588,0.0,12:00:50
83-007.588-K-1-GR2-GR3-93,K,7.588,0.0,12:00:55
83-007.588-K-2-V1-GR3-94-BB,K,7.588,0.0,12:00:55
83-007.588-K-21-GR3-GR3,K,7.588,0.0,12:00:55
83-007.715-K-1-GR2-GR1-31,K,7.715,0.0,12:00:00
